formula,frac_N,frac_O,frac_Ti,frac_V,frac_Zr,frac_Nb,frac_Hf,mendeleev_no,electrical_resistivity,velocity_of_sound,reflectivity,poissons_ratio,molar_volume,thermal_conductivity,boiling_point,melting_point,critical_temperature,superconduction_temperature,liquid_range,bulk_modulus,youngs_modulus,brinell_hardness,rigidity_modulus,vickers_hardness,density_of_solid,atomic_radius_calculated,van_der_waals_radius,coefficient_of_linear_thermal_expansion,enthalpy,entropy,delta,Tm,x_e,x_ch,potential_energy,deltaG,omega,VEC,YM(GPa),H(GPa)
Hf3.61 Zr17.63 Ti23.25 Nb3.92 V3.41 N47.33 O0.85,0.4733,0.0085,0.2325,0.0341,0.1763,0.0392,0.0361,74.4087,0.481800194,2193.65463,3.046,0.657796,12.695,13.18655127,2188.695788,1129.463165,61.56276,1.2337038,1059.232623,42.3241,50.7368,393.1828,20.705,521.9005,3221.0346,1.252521,1.866805,0.48180379,138.6627627,11.65533734,0.382893781,1129.463165,1.210164934,2.040682047,3.250846981,-3357.938441,0.094937343,4.5636,396.506699,37.86
Hf4.1 Zr17.75 Ti23.01 Nb4.59 V3.45 N47.11,0.471052895,0,0.230076992,0.03449655,0.177482252,0.04589541,0.0409959,73.88091191,0.471053091,2224.512509,3.069793021,0.651311869,12.64942006,13.64660385,2243.587237,1158.215633,59.97582242,1.287409259,1085.371604,43.78822118,51.6610339,405.7055294,21.04659534,538.3107689,3342.768023,1.269472053,1.874260574,0.471056752,-201.4014566,11.54072308,0.379178953,1158.215633,1.198423938,0.40696232,1.605386258,-3663.618381,0.066368169,4.551444856,387.5456935,35.46
Hf4.52 Zr17.63 Ti22.29 Nb5.21 V3.37 N46.99,0.469853015,0,0.222877712,0.03369663,0.176282372,0.052094791,0.04519548,73.83031697,0.46985321,2220.314609,3.02179782,0.651137886,12.65667733,13.8671508,2260.882876,1167.439051,59.82559744,1.336159984,1093.443825,44.38176182,51.61923808,410.9694031,21.0129987,545.3148685,3406.644836,1.27329967,1.875758424,0.469856866,-201.2876503,11.6698492,0.379136748,1167.439051,1.198290545,0.407091413,1.605381958,-3702.24241,0.067683425,4.555644436,326.1722635,34.3
Hf5.05 Zr17.56 Ti21.69 Nb5.85 V3.51 N46.34,0.4634,0,0.2169,0.0351,0.1756,0.0585,0.0505,73.5272,0.463400196,2235.47724,3.106,0.647584,12.648471,14.23116962,2299.072324,1187.94837,59.01768,1.394405,1111.123954,45.614,52.1389,420.8526,21.1895,557.566,3509.3243,1.283875,1.880319,0.463403886,-200.6750116,11.87142804,0.377278894,1187.94837,1.192418656,0.407008646,1.599427301,-3762.103423,0.070276032,4.557,364.309567,28.7
Hf5.49 Zr16.82 Ti20.47 Nb6.61 V3.45 N47.16,0.4716,0,0.2047,0.0345,0.1682,0.0661,0.0549,73.9528,0.47160019,2196.54076,3.07,0.65381,12.662395,14.28578143,2279.003476,1179.65458,60.04432,1.4608342,1099.348896,45.9528,51.2931,420.0124,20.8093,556.4572,3526.1957,1.274925,1.875923,0.471603815,-200.7059328,11.9233598,0.380176974,1179.65458,1.201578259,0.406682853,1.608261113,-3777.713874,0.070079872,4.5722,392.8601755,34.32
Hf5.96 Zr16.06 Ti18.89 Nb6.98 V3.24 N47.81 O1.06,0.4781,0.0106,0.1889,0.0324,0.1606,0.0698,0.0596,74.8129,0.488700182,2125.22966,2.944,0.665712,12.745524,14.00663107,2222.383336,1151.173585,62.48628,1.4904648,1071.209751,45.0343,49.4469,413.1711,20.0633,546.1227,3486.9536,1.2537,1.866024,0.488703673,222.5243214,12.25998601,0.386793475,1151.173585,1.222490212,2.061785176,3.284275389,-3455.471481,0.063423953,4.6015,374.8443251,36.9
Hf6.59 Zr16.23 Ti18.62 Nb8.15 V3.45 N45.82 O1.14,0.4582,0.0114,0.1862,0.0345,0.1623,0.0815,0.0659,73.8978,0.469600186,2183.38202,3.07,0.654114,12.713927,14.82763832,2316.409132,1200.88673,60.11768,1.5916932,1115.522402,47.7379,51.2189,432.9638,20.7138,572.8705,3682.7873,1.281551,1.878391,0.4696038,255.491872,12.60820673,0.380965777,1200.88673,1.204071332,2.075798418,3.279869749,-3526.970146,0.059262269,4.597,371.1685068,31.46
Hf7.37 Zr16.12 Ti17.97 Nb9.16 V3.49 N45.89,0.4589,0,0.1797,0.0349,0.1612,0.0916,0.0737,73.3779,0.458900188,2209.35604,3.094,0.648034,12.658462,15.39625339,2377.321304,1233.543845,58.45428,1.6743056,1143.777459,49.6501,52.0995,448.5289,21.0174,592.8727,3839.138,1.299671,1.88622,0.458903861,-199.2241966,12.37481648,0.376955692,1233.543845,1.191397153,0.406389944,1.597787097,-3911.669141,0.07662161,4.5854,360.5029446,29.56
Hf7.88 Zr14.89 Ti16.75 Nb9.84 V3.31 N46.2 O1.14,0.461953805,0.01139886,0.167483252,0.03309669,0.148885111,0.098390161,0.078792121,74.12518748,0.473352845,2147.353965,2.98580142,0.658323168,12.7220258,15.27250922,2329.69503,1211.939426,60.58748125,1.730082392,1117.755604,49.73432657,50.73872613,444.3131687,20.4139586,586.7092291,3818.858914,1.280934907,1.877465253,0.473356415,256.0240529,12.73574007,0.382649361,1211.939426,1.209392427,2.077102934,3.286495362,-3564.697967,0.060287092,4.616238376,366.0771815,31.46
Hf8.76 Zr14.41 Ti16.17 Nb11.17 V3.39 N46.1,0.461,0,0.1617,0.0339,0.1441,0.1117,0.0876,73.5383,0.461000181,2177.7836,3.034,0.651373,12.651813,15.98110763,2398.27966,1250.27485,58.7172,1.8410788,1148.00481,52.4411,51.9175,462.3236,20.797,610.3415,3997.832,1.300941,1.886107,0.461003829,-198.1616656,12.50185825,0.377903458,1250.27485,1.19439264,0.4051431,1.599535739,-3948.719141,0.078878823,4.6066,315.1537018,25.85
Hf4 Zr17.31 Ti22.43 Nb4 V3.83 N46.74 O1.7,0.467353265,0.0169983,0.224277572,0.03829617,0.173082692,0.039996,0.039996,74.55894411,0.484351757,2181.733967,3.297770223,0.659935006,12.72531347,13.19440536,2183.099354,1127.860384,62.12356764,1.261524848,1055.23897,42.65423458,50.49135086,395.0510949,20.58394161,521.5649435,3247.346865,1.249026097,1.865090491,0.48435533,473.7244229,12.02307928,0.384360554,1127.860384,1.214800781,2.097948918,3.312749699,-3133.199363,0.028624986,4.579642036,347.5094067,36.3
Hf4.4 Zr16.94 Ti22.15 Nb4.45 V3.83 N48.22,0.482248225,0,0.221522152,0.03830383,0.169416942,0.04450445,0.0440044,74.45124512,0.482248416,2183.758296,3.298229823,0.658992899,12.6539524,13.38529376,2197.938086,1137.179028,61.37747775,1.298340834,1060.759058,43.5539554,50.70737074,400.8306831,20.63156316,528.5906591,3303.094409,1.254084408,1.867134713,0.482252002,-201.3047015,11.53444846,0.382600497,1137.179028,1.209237989,0.406318116,1.615556105,-3661.639238,0.065158602,4.565056506,332.5106686,34.37
Hf4.96 Zr17.31 Ti21.86 Nb4.98 V3.91 N46.1 O0.89,0.460953905,0.00889911,0.218578142,0.03909609,0.173082692,0.04979502,0.04959504,73.85281472,0.469853209,2220.073343,3.345765423,0.651379862,12.67921208,13.84335986,2260.494091,1168.6992,60.07833217,1.340935706,1091.794891,44.86251375,51.69573043,414.9886011,21.01659834,546.3533647,3438.273373,1.272259774,1.875258474,0.469856866,155.6760947,12.13960573,0.379714457,1168.6992,1.200116438,2.052721186,3.252837624,-3486.205623,0.091135042,4.567643236,375.5270852,32.94
Hf5.48 Zr16.37 Ti20.16 Nb5.39 V3.73 N48.88,0.488751125,0,0.201579842,0.03729627,0.163683632,0.053894611,0.054794521,74.78632137,0.488751311,2142.141466,3.237776222,0.664540546,12.68776622,13.53887182,2196.618406,1137.344006,62.19164084,1.376168783,1059.274401,43.98310169,49.70932907,407.4534547,20.20457954,534.8288171,3393.825317,1.250129987,1.86479752,0.488754821,-201.457486,11.70830849,0.385499393,1137.344006,1.218400169,0.406591174,1.624991343,-3713.950033,0.066100172,4.579942006,365.8749485,35.46
Hf5.95 Zr16.16 Ti19.6 Nb6.16 V3.59 N48.54,0.4854,0,0.196,0.0359,0.1616,0.0616,0.0595,74.6328,0.485400185,2144.61644,3.154,0.663002,12.688884,13.84913788,2223.202944,1151.80197,61.77208,1.433652,1071.400974,44.968,49.9144,414.8942,20.2553,545.1074,3475.241,1.256797,1.867584,0.485403709,-201.2353349,11.83818074,0.384762045,1151.80197,1.216069724,0.406615708,1.622685433,-3752.689556,0.067757682,4.5829,370.1338035,30.48
Hf6.76 Zr16.38 Ti19.28 Nb7.24 V3.89 N45.72 O0.73,0.4572,0.0073,0.1928,0.0389,0.1638,0.0724,0.0676,73.6341,0.46450019,2208.28367,3.334,0.650253,12.681368,14.69130351,2325.307452,1205.442,59.36272,1.5299508,1119.865452,47.8043,51.8217,437.6149,20.9606,574.3651,3693.8189,1.286771,1.880941,0.464503846,93.07318404,12.52115815,0.378824731,1205.442,1.197304391,2.049661604,3.246965995,-3663.274262,0.162168406,4.5831,362.2109135,30.06
Hf7.21 Zr15.47 Ti17.83 Nb7.88 V3.63 N47.98,0.4798,0,0.1783,0.0363,0.1547,0.0788,0.0721,74.3952,0.479800182,2142.85628,3.178,0.661082,12.686942,14.53189323,2276.653928,1182.15879,61.07096,1.5796358,1094.495138,47.3825,50.2264,432.0608,20.2936,566.8333,3668.0896,1.269243,1.872592,0.479803721,-200.4126643,12.12829684,0.38363866,1182.15879,1.21251918,0.406281119,1.618800299,-3838.901718,0.071540253,4.5949,350.7686703,28.5
Hf8.24 Zr15.69 Ti17.75 Nb9.06 V3.86 N45.4,0.454,0,0.1775,0.0386,0.1569,0.0906,0.0824,73.1468,0.454000188,2221.8524,3.316,0.645156,12.645304,15.50962682,2399.99784,1246.9436,57.8408,1.6777462,1153.05424,50.7779,52.5942,460.5314,21.1707,603.1665,3931.0544,1.30664,1.889274,0.454003893,-198.6222675,12.51186891,0.375374413,1246.9436,1.1863994,0.406142836,1.592542236,-3952.18294,0.078549072,4.5832,371.5590259,35.69
Hf8.74 Zr14.37 Ti16.23 Nb9.99 V3.66 N47.01,0.4701,0,0.1623,0.0366,0.1437,0.0999,0.0874,73.9697,0.470100179,2152.42936,3.196,0.656734,12.667785,15.42724268,2349.007036,1224.104905,59.85652,1.7555792,1124.902131,50.9198,51.06,455.1731,20.4918,596.339,3910.6499,1.287106,1.880005,0.470103767,-198.9739393,12.4129637,0.380933521,1224.104905,1.203969383,0.405417311,1.609386694,-3922.863049,0.076365628,4.6066,382.562657,30.42
Hf9.43 Zr14.16 Ti15.38 Nb10.73 V3.63 N45.5 O1.18,0.454954505,0.01179882,0.153784622,0.03629637,0.141585841,0.107289271,0.094290571,73.82871713,0.466753503,2152.906209,3.177782222,0.655336466,12.71740726,15.73929236,2378.239436,1239.694721,59.77260274,1.815129887,1138.544716,51.94320568,51.19958004,464.660334,20.51724828,607.8572143,4011.686831,1.293389661,1.882627737,0.466757099,272.6709549,12.95302765,0.381040868,1239.694721,1.20430866,2.083952637,3.288261298,-3613.237341,0.058890761,4.622137786,317.2113688,31.43
Hf4.33 Zr17.19 Ti22.13 Nb3.94 V4.36 N47.13 O0.94,0.471205759,0.00939812,0.221255749,0.043591282,0.171865627,0.039392122,0.043291342,74.3815237,0.480604072,2195.434093,3.615476905,0.657743451,12.67812637,13.3071621,2198.780292,1137.388207,61.4385123,1.279255549,1061.392085,43.42391522,50.92571486,400.5755849,20.73185363,525.8590282,3296.838332,1.254423115,1.867412517,0.480607671,175.1722712,11.92904806,0.382619323,1137.388207,1.209297489,2.050529957,3.259827446,-3403.542147,0.077454945,4.572985403,379.0535147,38.06
Hf4.92 Zr17.22 Ti21.48 Nb4.22 V4.21 N47.06 O0.89,0.4706,0.0089,0.2148,0.0421,0.1722,0.0422,0.0492,74.3215,0.479500192,2190.37391,3.526,0.657445,12.69469,13.41409216,2214.681396,1144.77695,61.28616,1.2944496,1069.904446,43.6017,50.7633,407.3443,20.6716,533.0669,3363.5143,1.258471,1.869051,0.479503781,155.1104471,12.01562169,0.382811337,1144.77695,1.209904365,2.049000019,3.258904384,-3449.576059,0.088680079,4.5727,368.2716851,32.45
Hf5.42 Zr16.91 Ti20.74 Nb4.96 V4.37 N46.22 O1.38,0.4622,0.0138,0.2074,0.0437,0.1691,0.0496,0.0542,74.1757,0.476000191,2194.80942,3.622,0.655925,12.704474,13.74410543,2241.009152,1159.92845,60.98712,1.3638286,1081.080702,44.8451,51.0624,414.9786,20.7466,542.6589,3449.7189,1.264497,1.871546,0.476003796,349.3181205,12.35856059,0.382211403,1159.92845,1.208008225,2.085021006,3.293029231,-3358.250058,0.041037224,4.5831,361.5071399,32.35
Hf6.02 Zr16.27 Ti20.11 Nb5.69 V4.34 N46.99 O0.59,0.469853015,0.00589941,0.201079892,0.04339566,0.162683732,0.056894311,0.060193981,74.17618238,0.475752613,2186.345255,3.603739626,0.65649635,12.67076392,13.97979636,2253.050239,1168.472768,60.73174683,1.423735226,1084.577471,45.99390061,51.08719128,421.649835,20.69923008,550.7210279,3519.890211,1.267039296,1.872393761,0.475756216,36.66825106,12.23508084,0.381708799,1168.472768,1.20641971,2.033588887,3.240008597,-3633.856,0.389883847,4.581941806,352.3708407,31.32
Hf6.51 Zr15.83 Ti18.62 Nb6.11 V4.17 N47.69 O1.07,0.4769,0.0107,0.1862,0.0417,0.1583,0.0611,0.0651,74.7687,0.487600183,2133.63009,3.502,0.664962,12.727113,13.83930273,2219.313024,1151.128205,62.3514,1.4573308,1068.184819,45.3479,49.6821,418.529,20.139,545.4621,3515.2773,1.253703,1.86604,0.487603684,226.9130791,12.36836818,0.386340357,1151.128205,1.221058099,2.063845056,3.284903156,-3483.597375,0.062744631,4.6011,354.9882907,27.52
Hf7.3 Zr15.89 Ti18.69 Nb7 V4.24 N46.11 O0.77,0.4611,0.0077,0.1869,0.0424,0.1589,0.07,0.073,73.8553,0.468800188,2190.52771,3.544,0.653332,12.685348,14.55201488,2308.869036,1198.403615,59.91244,1.526293,1110.465421,47.9007,51.4256,439.8214,20.7789,572.7557,3708.019,1.281134,1.878273,0.468803811,108.971861,12.566542,0.38035668,1198.403615,1.202146234,2.051924321,3.254070555,-3660.990738,0.138198882,4.5889,365.2854267,36.42
Hf8 Zr15 Ti17.31 Nb7.69 V4.1 N47.9,0.479,0,0.1731,0.041,0.15,0.0769,0.08,74.3678,0.479000181,2141.8004,3.46,0.660922,12.679591,14.53417257,2282.35874,1186.84605,60.9708,1.582705,1095.51269,48.103,50.3211,440.265,20.2946,571.892,3731.6337,1.270668,1.873103,0.479003721,-200.0698469,12.2307683,0.383499656,1186.84605,1.212079849,0.406005192,1.618085041,-3869.300337,0.072554857,4.5969,348.3803734,31.48
Hf8.83 Zr14.71 Ti17.21 Nb8.83 V4.11 N45.5 O0.81,0.455,0.0081,0.1721,0.0411,0.1471,0.0883,0.0883,73.6174,0.463100184,2186.31675,3.466,0.651384,12.679795,15.25466795,2362.12752,1230.03263,59.21016,1.6716884,1132.09489,50.8412,51.8492,460.2113,20.8259,598.0062,3917.0109,1.293389,1.883206,0.463103829,126.015894,12.81984311,0.378959144,1230.03263,1.197729215,2.059599117,3.257328332,-3719.937038,0.125133623,4.6006,325.3760194,27.21
Hf9.35 Zr13.8 Ti15.34 Nb9.34 V3.93 N46.96 O1.29,0.469553045,0.01289871,0.153384662,0.03929607,0.137986201,0.093390661,0.093490651,74.58824118,0.48245193,2105.694741,3.357764224,0.664937506,12.74312769,14.97217543,2298.599776,1198.561644,61.76928307,1.716006399,1100.038132,49.94050595,49.78632137,452.3444656,19.98540146,586.3642636,3875.032797,1.269920008,1.872182782,0.482455424,315.0459672,12.8219431,0.386102277,1198.561644,1.220305631,2.085295292,3.305600923,-3531.536964,0.048779832,4.628037196,346.5082926,29.56
Hf10.44 Zr13.62 Ti15.2 Nb10.56 V3.95 N45.75 O0.48,0.4575,0.0048,0.152,0.0395,0.1362,0.1056,0.1044,73.6104,0.462300179,2162.838,3.37,0.652731,12.680106,15.81664481,2398.84316,1252.228915,59.01628,1.8096452,1146.614245,53.0745,51.6431,477.8319,20.6462,618.8329,4108.2255,1.300381,1.885652,0.462303802,-5.12552708,12.82256789,0.379189043,1252.228915,1.198455828,2.039099859,3.237555687,-3851.895893,3.132710065,4.6122,284.3131073,22.38
Hf4.84 Zr16.99 Ti21.32 Nb3.79 V4.77 N47.23 O1.07,0.472252775,0.01069893,0.213178682,0.04769523,0.169883012,0.03789621,0.04839516,74.5060494,0.482951895,2184.094121,3.861713829,0.659641036,12.68768823,13.24775914,2193.425425,1135.264249,61.76940306,1.286140586,1058.161177,43.49955004,50.62263774,403.6588341,20.60253975,525.8217178,3327.715528,1.252005799,1.866164384,0.482955469,226.742622,12.04939262,0.383682166,1135.264249,1.212656685,2.060094383,3.272751068,-3388.075164,0.060329393,4.579242076,395.6986958,39.07
Hf5.37 Zr16.66 Ti20.2 Nb4.25 V4.63 N48.89,0.4889,0,0.202,0.0463,0.1666,0.0425,0.0537,74.7931,0.488900187,2153.12204,3.778,0.664184,12.671937,13.25382829,2182.410204,1129.952045,62.21028,1.3213446,1052.458159,43.4155,49.8272,405.0573,20.2768,526.5571,3357.5005,1.247519,1.863775,0.488903703,-201.2784542,11.68224111,0.385292309,1129.952045,1.217745663,0.406360191,1.624105855,-3705.950786,0.065582639,4.5777,384.4618844,33.05
Hf6.02 Zr16.32 Ti20.19 Nb5.04 V4.85 N46.36 O1.23,0.463553645,0.01229877,0.201879812,0.04849515,0.163183682,0.050394961,0.060193981,74.18878112,0.475852604,2192.122998,3.909709029,0.656309369,12.68412359,13.81602012,2244.487507,1164.30179,60.9260074,1.391878412,1080.185717,45.79352065,51.18438156,420.9666033,20.74372563,546.5718428,3502.209179,1.264872513,1.871546845,0.475856211,290.8030246,12.43706461,0.382002905,1164.30179,1.207349254,2.076913728,3.284262982,-3440.316359,0.049794862,4.587041296,385.2748835,37.16
Hf6.53 Zr15.63 Ti18.72 Nb5.37 V4.56 N49.19,0.4919,0,0.1872,0.0456,0.1563,0.0537,0.0653,74.9694,0.491900182,2124.41084,3.736,0.667459,12.682055,13.54130578,2191.905684,1137.837495,62.58588,1.4134464,1054.068189,44.8482,49.4042,415.2921,20.0294,537.6636,3469.8396,1.24704,1.863063,0.491903661,-200.8093404,11.87955383,0.386695454,1137.837495,1.222180412,0.405958348,1.62813876,-3764.675489,0.067312615,4.5912,436.2527334,34.07
Hf7.54 Zr16.23 Ti19.28 Nb6.36 V5.05 N45.54,0.4554,0,0.1928,0.0505,0.1623,0.0636,0.0754,73.1933,0.455400193,2245.41544,4.03,0.644301,12.615278,14.72036298,2354.057944,1222.40607,58.01608,1.5021742,1131.651874,49.0117,52.8798,450.6988,21.3468,582.3983,3783.3213,1.297805,1.885932,0.455403917,-198.781895,12.40187061,0.375095169,1222.40607,1.185516829,0.405935067,1.591451896,-3919.343078,0.076265104,4.5695,342.0777147,31.63
Hf7.89 Zr14.9 Ti16.87 Nb6.75 V4.54 N49.06,0.490550945,0,0.168683132,0.04539546,0.148985101,0.067493251,0.078892111,74.93130687,0.490551123,2107.484412,3.723727627,0.668168183,12.69457154,14.01677052,2226.35608,1157.791851,62.4169783,1.528451355,1068.56423,46.60993901,49.23977602,430.4079592,19.89421058,555.0962904,3636.624838,1.253858614,1.865545445,0.490554584,-200.4049087,12.10527784,0.38708407,1157.791851,1.223408663,0.405862445,1.629271108,-3831.98826,0.069935373,4.603439656,360.8375202,31.23
Hf8.77 Zr14.89 Ti17.1 Nb7.55 V4.68 N45.19 O1.83,0.451854815,0.01829817,0.170982902,0.04679532,0.148885111,0.075492451,0.087691231,73.96170383,0.470153168,2170.232067,3.807719228,0.655445455,12.72788821,14.74228476,2320.920052,1207.710164,60.38282172,1.591590441,1113.209888,49.39416058,51.18478152,453.6942306,20.60543946,584.1408859,3840.541046,1.281347865,1.877967203,0.470156765,526.823311,13.04942791,0.38198945,1207.710164,1.207306726,2.122247506,3.329554232,-3388.005062,0.029915014,4.610738926,318.4079263,30.89
Hf9.55 Zr14.04 Ti15.55 Nb8.1 V4.5 N47.17 O1.09,0.4717,0.0109,0.1555,0.045,0.1404,0.081,0.0955,74.579,0.482600177,2112.64487,3.7,0.664481,12.73412,14.62817373,2286.041692,1191.242705,61.73108,1.634918,1094.798987,49.203,49.7818,453.3066,20.0158,581.3588,3855.6905,1.268258,1.871595,0.48260367,235.9207595,12.77237278,0.386021525,1191.242705,1.220050407,2.072171082,3.292221489,-3595.791073,0.064491976,4.6195,368.5253275,32.68
Hf10.54 Zr14.21 Ti15.75 Nb9.34 V4.47 N45.68,0.456845685,0,0.157515752,0.04470447,0.142114211,0.093409341,0.105410541,73.31673167,0.456845868,2190.755556,3.682268227,0.648475848,12.65438144,15.60015916,2408.605309,1255.585599,58.19707971,1.725474747,1153.01971,52.55315532,52.14461446,481.6339634,20.89028903,618.4735474,4112.362636,1.306465647,1.888619862,0.456849529,-198.2992342,12.66996274,0.377023458,1255.585599,1.191611333,0.4057516,1.597362933,-3999.288058,0.080223319,4.594959496,360.8375202,30.25
Hf11.68 Zr13.46 Ti14.8 Nb10.51 V4.54 N45.01,0.4501,0,0.148,0.0454,0.1346,0.1051,0.1168,73.0153,0.450100182,2198.69336,3.724,0.645278,12.641919,16.13262608,2455.772436,1282.909605,57.35252,1.8236914,1172.862831,54.8437,52.728,498.3329,21.0355,638.3651,4276.5757,1.318488,1.893653,0.450103878,-197.2125718,12.80400071,0.374948933,1282.909605,1.185054638,0.405153312,1.59020795,-4038.412785,0.08329274,4.6006,336.5903358,33.88
